Entity,Code,Year,UHC Index
Solomon Islands,SLB,2010,40.09755
Somalia,SOM,2000,10.69952
Somalia,SOM,2005,12.36933
Somalia,SOM,2010,17.37231
South Africa,ZAF,2000,43.06644
South Africa,ZAF,2005,51.49383
South Africa,ZAF,2010,62.6583
South Korea,KOR,2000,73.20142
South Korea,KOR,2005,77.24309
South Korea,KOR,2010,82.1474
South Sudan,SSD,2000,17.96568
South Sudan,SSD,2005,19.12855
South Sudan,SSD,2010,22.70779
South-East Asia (WHO),,2000,29.73478
South-East Asia (WHO),,2005,34.44448
South-East Asia (WHO),,2010,47.23974
Spain,ESP,2000,68.74818
Spain,ESP,2005,73.6699
Spain,ESP,2010,77.63302
Sri Lanka,LKA,2000,43.76064
Sri Lanka,LKA,2005,48.07618
Sri Lanka,LKA,2010,54.61721
Sudan,SDN,2000,24.80419
Sudan,SDN,2005,27.02324
Sudan,SDN,2010,35.65147
Suriname,SUR,2000,45.25257
Suriname,SUR,2005,58.09045
Suriname,SUR,2010,64.7199
Sweden,SWE,2000,72.33821
Sweden,SWE,2005,75.9309
Sweden,SWE,2010,80.64134
Switzerland,CHE,2000,74.98363
Switzerland,CHE,2005,79.48193
Switzerland,CHE,2010,81.97541
Syria,SYR,2000,46.07927
Syria,SYR,2005,52.43646
Syria,SYR,2010,58.25027
Tajikistan,TJK,2000,42.48084
Tajikistan,TJK,2005,46.26333
Tajikistan,TJK,2010,58.42437
Tanzania,TZA,2000,19.56862
Tanzania,TZA,2005,23.36851
Tanzania,TZA,2010,33.19517
Thailand,THA,2000,43.18711
Thailand,THA,2005,59.16866
Thailand,THA,2010,67.68145
Togo,TGO,2000,18.67918
Togo,TGO,2005,24.5421
Togo,TGO,2010,29.62984
Tonga,TON,2000,43.2936
Tonga,TON,2005,44.61647
Tonga,TON,2010,52.79188
Trinidad and Tobago,TTO,2000,52.74739
Trinidad and Tobago,TTO,2005,66.0619
Trinidad and Tobago,TTO,2010,72.03561
Tunisia,TUN,2000,44.01251
Tunisia,TUN,2005,57.5374
Tunisia,TUN,2010,60.61248
Turkey,TUR,2000,57.10386
Turkey,TUR,2005,63.95932
Turkey,TUR,2010,65.80634
Turkmenistan,TKM,2000,54.28495
Turkmenistan,TKM,2005,62.43292
Turkmenistan,TKM,2010,67.9454
Tuvalu,TUV,2000,37.39676
Tuvalu,TUV,2005,40.02587
Tuvalu,TUV,2010,48.6541
Uganda,UGA,2000,21.75011
Uganda,UGA,2005,27.80427
Uganda,UGA,2010,36.46073
Ukraine,UKR,2000,52.67456
Ukraine,UKR,2005,54.25643
Ukraine,UKR,2010,64.65137
United Arab Emirates,ARE,2000,48.48775
United Arab Emirates,ARE,2005,59.04102
United Arab Emirates,ARE,2010,61.98754
United Kingdom,GBR,2000,72.03758
United Kingdom,GBR,2005,78.71256
United Kingdom,GBR,2010,83.0361
United States,USA,2000,77.96876
United States,USA,2005,81.11957
United States,USA,2010,82.9012
Uruguay,URY,2000,65.22858
Uruguay,URY,2005,70.28025
Uruguay,URY,2010,77.57634
Uzbekistan,UZB,2000,54.79426
Uzbekistan,UZB,2005,55.6623
Uzbekistan,UZB,2010,67.9312
Vanuatu,VUT,2000,31.38485
Vanuatu,VUT,2005,30.86052
Vanuatu,VUT,2010,37.76617
Venezuela,VEN,2000,49.0037
Venezuela,VEN,2005,59.51868
Venezuela,VEN,2010,66.94756
Vietnam,VNM,2000,36.98556
Vietnam,VNM,2005,44.04025
Vietnam,VNM,2010,58.99083
Western Pacific (WHO),,2000,48.51195
Western Pacific (WHO),,2005,57.30132
Western Pacific (WHO),,2010,66.27006
World,OWID_WRL,2000,44.62809
World,OWID_WRL,2005,49.78249
World,OWID_WRL,2010,58.02955
Yemen,YEM,2000,28.35013
Yemen,YEM,2005,29.89151
Yemen,YEM,2010,38.74886
Zambia,ZMB,2000,28.17749
Zambia,ZMB,2005,34.16745
Zambia,ZMB,2010,44.77538
Zimbabwe,ZWE,2000,30.00444
Zimbabwe,ZWE,2005,31.41146
Zimbabwe,ZWE,2010,46.01314
